25792,state:6,Time:13:42:46,Lat:35.55490833,Lng:139.65565667,ax:  -0.6,ay:-0.16777777777777778,az:1.0933333333333333,q:197.0625,rV:    70,lV:    50,Camera:0
25919,state:6,Time:13:42:46,Lat:35.55490833,Lng:139.65565667,ax:-0.03666666666666667,ay:  0.19,az:0.7555555555555555,q:191.3125,rV:    70,lV:    50,Camera:0
25999,state:6,Time:13:42:46,Lat:35.55490833,Lng:139.65565667,ax:0.3844444444444444,ay:  0.09,az:0.3933333333333333,q: 188.5,rV:    70,lV:    50,Camera:0
26084,state:6,Time:13:42:46,Lat:35.55490833,Lng:139.65565667,ax:0.6122222222222222,ay:-0.4266666666666667,az:0.7755555555555556,q:185.75,rV:    70,lV:    50,Camera:0
26123,state:6,Time:13:42:46,Lat:35.55490833,Lng:139.65565667,ax:  -0.6,ay:-0.29888888888888887,az:0.8433333333333334,q:184.0625,rV:    70,lV:    50,Camera:0
26135,state:6,Time:13:42:46,Lat:35.55490833,Lng:139.65565667,ax:-0.30444444444444446,ay:-0.8655555555555555,az:  0.79,q:183.5625,rV:    70,lV:    50,Camera:0
26235,state:6,Time:13:42:46,Lat:35.55490833,Lng:139.65565667,ax:-0.8533333333333334,ay:-0.20444444444444446,az:0.9277777777777778,q:180.1875,rV:    70,lV:    50,Camera:0
26244,state:6,Time:13:42:46,Lat:35.55490833,Lng:139.65565667,ax:-1.2333333333333334,ay:0.5144444444444445,az:1.0377777777777777,q:179.625,rV:    70,lV:    50,Camera:0
26597,state:6,Time:13:42:47,Lat:35.55490833,Lng:139.65565667,ax:-0.9022222222222223,ay:0.36777777777777776,az:0.6022222222222222,q:168.4375,rV:    70,lV:    50,Camera:0
26648,state:6,Time:13:42:47,Lat:35.55490833,Lng:139.65565667,ax:0.40555555555555556,ay:0.0811111111111111,az:0.20222222222222222,q:167.4375,rV:    70,lV:    50,Camera:0
26740,state:6,Time:13:42:47,Lat:35.55490833,Lng:139.65565667,ax:-0.2588888888888889,ay:0.5144444444444445,az:0.6922222222222222,q:164.1875,rV:    70,lV:    50,Camera:0
