5796,state:4,Time:14:19:38,Lat:35.55487667,Lng:139.65567500,ax:   0.0,ay:0.0033333333333333335,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:captured!
28748,state:6,Time:14:20:01,Lat:35.55485167,Lng:139.65561500,ax:0.035555555555555556,ay:-0.6466666666666666,az:0.16111111111111112,q:336.0625,rV:    60,lV:    60,Camera:0
28826,state:6,Time:14:20:01,Lat:35.55485167,Lng:139.65561500,ax:0.04777777777777778,ay:-0.9244444444444444,az:0.06888888888888889,q:336.3125,rV:    60,lV:    60,Camera:0
28904,state:6,Time:14:20:01,Lat:35.55485167,Lng:139.65561500,ax:-0.3088888888888889,ay:0.14222222222222222,az:0.07444444444444444,q:336.125,rV:    60,lV:    60,Camera:0
28947,state:6,Time:14:20:01,Lat:35.55485167,Lng:139.65561500,ax:-0.5977777777777777,ay:0.2733333333333333,az:0.3277777777777778,q:335.8125,rV:    60,lV:    60,Camera:0
29068,state:6,Time:14:20:02,Lat:35.55485167,Lng:139.65560667,ax:0.5722222222222222,ay:-0.6144444444444445,az:0.07333333333333333,q: 335.0,rV:    60,lV:    60,Camera:0
29109,state:6,Time:14:20:02,Lat:35.55485167,Lng:139.65560667,ax:-1.2522222222222221,ay:0.0044444444444444444,az:0.48444444444444446,q:334.3125,rV:    60,lV:    60,Camera:0
29221,state:6,Time:14:20:02,Lat:35.55485167,Lng:139.65560667,ax:0.38666666666666666,ay:-0.6911111111111111,az:-0.4477777777777778,q: 333.5,rV:    60,lV:    60,Camera:0
29234,state:6,Time:14:20:02,Lat:35.55485167,Lng:139.65560667,ax:1.0277777777777777,ay:-0.11666666666666667,az:-0.5377777777777778,q:334.125,rV:    60,lV:    60,Camera:0
29531,state:6,Time:14:20:02,Lat:35.55485167,Lng:139.65560667,ax: -1.05,ay:-0.5622222222222222,az:0.44222222222222224,q:333.5625,rV:    60,lV:    60,Camera:0
29647,state:6,Time:14:20:02,Lat:35.55485167,Lng:139.65560667,ax:1.1333333333333333,ay:-0.2511111111111111,az:-0.21333333333333335,q: 334.0,rV:    60,lV:    60,Camera:0
29656,state:6,Time:14:20:02,Lat:35.55485167,Lng:139.65560667,ax:0.9222222222222223,ay:0.5588888888888889,az: -0.24,q: 334.0,rV:    60,lV:    60,Camera:0
29733,state:6,Time:14:20:02,Lat:35.55485167,Lng:139.65560667,ax:0.8022222222222222,ay:-0.3877777777777778,az:-0.06111111111111111,q:333.75,rV:    60,lV:    60,Camera:0
29815,state:6,Time:14:20:02,Lat:35.55485167,Lng:139.65560667,ax:0.9966666666666667,ay:-0.5444444444444444,az:0.023333333333333334,q:332.9375,rV:    60,lV:    60,Camera:0
29905,state:6,Time:14:20:02,Lat:35.55485167,Lng:139.65560667,ax:  -0.5,ay:0.6577777777777778,az:0.33555555555555555,q:333.6875,rV:    60,lV:    60,Camera:0
29961,state:6,Time:14:20:02,Lat:35.55485167,Lng:139.65560667,ax:  0.99,ay:0.08222222222222222,az:0.04888888888888889,q:333.0625,rV:    60,lV:    60,Camera:0
30095,state:6,Time:14:20:03,Lat:35.55485333,Lng:139.65560167,ax:-0.8966666666666666,ay:  0.67,az:0.10444444444444445,q:332.125,rV:    60,lV:    60,Camera:0
30145,state:6,Time:14:20:03,Lat:35.55485333,Lng:139.65560167,ax:0.6366666666666667,ay:0.46444444444444444,az:-0.3622222222222222,q:333.0625,rV:    60,lV:    60,Camera:0
30262,state:6,Time:14:20:03,Lat:35.55485333,Lng:139.65560167,ax:-0.6488888888888888,ay:-0.32222222222222224,az:0.21444444444444444,q:333.75,rV:    60,lV:    60,Camera:0
30269,state:6,Time:14:20:03,Lat:35.55485333,Lng:139.65560167,ax:-0.6488888888888888,ay:-0.32222222222222224,az:0.21444444444444444,q:333.625,rV:    60,lV:    60,Camera:0
30574,state:6,Time:14:20:03,Lat:35.55485333,Lng:139.65560167,ax:-0.40555555555555556,ay:0.7511111111111111,az:-0.028888888888888888,q:332.375,rV:    60,lV:    60,Camera:0
30686,state:6,Time:14:20:03,Lat:35.55485333,Lng:139.65560167,ax:-0.07222222222222222,ay:0.2966666666666667,az:-0.028888888888888888,q:333.0625,rV:    60,lV:    60,Camera:0
30697,state:6,Time:14:20:03,Lat:35.55485333,Lng:139.65560167,ax:0.4722222222222222,ay:0.6344444444444445,az:-0.15222222222222223,q:333.1875,rV:    60,lV:    60,Camera:0
