5810,state:4,Time:13:45:37,Lat:35.55491500,Lng:139.65560667,ax:-0.0033333333333333335,ay:0.0022222222222222222,az:0.0044444444444444444,q:   0.0,rV:     0,lV:     0,Camera:captured!
29685,state:6,Time:13:46:01,Lat:35.55493833,Lng:139.65560500,ax:0.11777777777777777,ay:0.24555555555555555,az:-0.2288888888888889,q:164.25,rV:    60,lV:    60,Camera:0
29773,state:6,Time:13:46:01,Lat:35.55493833,Lng:139.65560500,ax:1.4233333333333333,ay:-0.035555555555555556,az:-0.09666666666666666,q:164.3125,rV:    60,lV:    60,Camera:0
29827,state:6,Time:13:46:01,Lat:35.55493833,Lng:139.65560500,ax: -0.05,ay:0.6177777777777778,az: -0.05,q: 164.0,rV:    60,lV:    60,Camera:0
29952,state:6,Time:13:46:01,Lat:35.55493833,Lng:139.65560500,ax:-0.4622222222222222,ay:-0.7155555555555555,az:0.09222222222222222,q:163.5625,rV:    60,lV:    60,Camera:0
29995,state:6,Time:13:46:01,Lat:35.55493833,Lng:139.65560500,ax:0.31222222222222223,ay:-0.3622222222222222,az:-0.3844444444444444,q: 164.0,rV:    60,lV:    60,Camera:0
30086,state:6,Time:13:46:01,Lat:35.55493833,Lng:139.65560500,ax:-1.0644444444444445,ay:-0.3022222222222222,az:0.6788888888888889,q:-1884.0,rV:    60,lV:    60,Camera:0
30166,state:6,Time:13:46:01,Lat:35.55493833,Lng:139.65560500,ax:-1.0077777777777779,ay:0.9444444444444444,az:0.006666666666666667,q:162.4375,rV:    60,lV:    60,Camera:0
30177,state:6,Time:13:46:01,Lat:35.55493833,Lng:139.65560500,ax:-0.7788888888888889,ay:0.2088888888888889,az:-0.05555555555555555,q:162.4375,rV:    60,lV:    60,Camera:0
30288,state:6,Time:13:46:01,Lat:35.55493833,Lng:139.65560500,ax:-0.13111111111111112,ay:0.4622222222222222,az:-0.18444444444444444,q:162.9375,rV:    60,lV:    60,Camera:0
30295,state:6,Time:13:46:01,Lat:35.55493833,Lng:139.65560500,ax:-0.13111111111111112,ay:0.4622222222222222,az:-0.18444444444444444,q:162.9375,rV:    60,lV:    60,Camera:0
30599,state:6,Time:13:46:02,Lat:35.55494000,Lng:139.65560500,ax:0.4122222222222222,ay: -0.32,az:-0.20555555555555555,q:162.5625,rV:    60,lV:    60,Camera:0
30717,state:6,Time:13:46:02,Lat:35.55494000,Lng:139.65560500,ax:0.22111111111111112,ay:-0.20222222222222222,az:-0.4033333333333333,q:164.375,rV:    60,lV:    60,Camera:0
