6183,state:4,Time:13:17:49,Lat:35.55488000,Lng:139.65572167,ax:-0.0033333333333333335,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:captured!
26138,state:6,Time:13:18:09,Lat:35.55489667,Lng:139.65569000,ax:0.3466666666666667,ay:-1.2566666666666666,az:-0.06333333333333334,q:270.5625,rV:    60,lV:    60,Camera:0
26231,state:6,Time:13:18:09,Lat:35.55489667,Lng:139.65569000,ax:0.10555555555555556,ay:-0.8511111111111112,az:0.2911111111111111,q:271.1875,rV:    60,lV:    60,Camera:0
26238,state:6,Time:13:18:09,Lat:35.55489667,Lng:139.65569000,ax:0.03333333333333333,ay: -0.78,az:0.39222222222222225,q:270.9375,rV:    60,lV:    60,Camera:0
26532,state:6,Time:13:18:09,Lat:35.55489667,Lng:139.65569000,ax:-0.7377777777777778,ay:-0.21333333333333335,az:-0.6933333333333334,q:267.8125,rV:    60,lV:    60,Camera:0
26643,state:6,Time:13:18:10,Lat:35.55490333,Lng:139.65568667,ax:0.7233333333333334,ay:0.15222222222222223,az:  0.39,q:267.125,rV:    60,lV:    60,Camera:0
26693,state:6,Time:13:18:10,Lat:35.55490333,Lng:139.65568667,ax:-0.33555555555555555,ay:-0.6777777777777778,az:0.17777777777777778,q:266.3125,rV:    60,lV:    60,Camera:0
26781,state:6,Time:13:18:10,Lat:35.55490333,Lng:139.65568667,ax:-0.3277777777777778,ay:0.5066666666666667,az:-0.06333333333333334,q:265.875,rV:    60,lV:    60,Camera:0
26829,state:6,Time:13:18:10,Lat:35.55490333,Lng:139.65568667,ax:0.6788888888888889,ay:0.19777777777777777,az:-0.37777777777777777,q:266.375,rV:    60,lV:    60,Camera:0
26944,state:6,Time:13:18:10,Lat:35.55490333,Lng:139.65568667,ax:-0.3422222222222222,ay:-0.23666666666666666,az:0.10111111111111111,q:267.25,rV:    60,lV:    60,Camera:0
27030,state:6,Time:13:18:10,Lat:35.55490333,Lng:139.65568667,ax:-0.06777777777777778,ay:-0.46444444444444444,az:-0.10777777777777778,q:267.1875,rV:    60,lV:    60,Camera:0
